Japan,  Population size (5-year)     Last modified: 15-Dec-2010, MPv5 (May07)

Year       Age      Female         Male        Total
1952      65-69     966476.41    796621.08   1763097.49
1952      70-74     755345.65    553343.04   1308688.69
1952      75-79     455219.40    291769.55    746988.95
1952      80-84     181508.75     97965.47    279474.22
1952      85-89      60681.88     27093.06     87774.94
1952      90-94      10435.75      3812.43     14248.18
1952      95-99       1271.06       397.01      1668.07
1952     100-104        78.00        42.00       120.00
1952     105-109         9.00         0.00         9.00
1952     110+            2.00         0.00         2.00
1953       0        943690.18    987168.46   1930858.64
1953       1-4     4446919.76   4633226.69   9080146.45
1953       5-9     4649273.35   4807167.97   9456441.32
1953      10-14    4458152.36   4564748.98   9022901.34
1953      15-19    4306617.67   4364670.06   8671287.73
1953      20-24    4019617.84   4015501.88   8035119.72
1953      25-29    3584425.92   3318023.41   6902449.33
1953      30-34    2996504.68   2377693.09   5374197.77
1953      35-39    2695474.68   2331345.69   5026820.37
1953      40-44    2472149.19   2261147.63   4733296.82
1953      45-49    2014885.54   2004781.19   4019666.73
1953      50-54    1802880.53   1835692.74   3638573.27
1953      55-59    1462933.28   1473717.12   2936650.40
1953      60-64    1226311.10   1162329.44   2388640.54
1953      65-69     980310.28    822488.64   1802798.92
1953      70-74     768630.10    564504.60   1333134.70
1953      75-79     479483.42    307135.84    786619.26
1953      80-84     192588.09    105219.56    297807.65
1953      85-89      64948.63     29040.77     93989.40
1953      90-94      10875.69      3955.36     14831.05
1953      95-99       1402.09       445.03      1847.12
1953     100-104        81.00        42.00       123.00
1953     105-109         9.00         1.00        10.00
1953     110+            1.00         0.00         1.00
1954       0        879621.53    919881.98   1799503.51
1954       1-4     4168586.34   4347040.80   8515627.14
1954       5-9     4892176.88   5075735.73   9967912.61
1954      10-14    4588886.58   4703177.56   9292064.14
1954      15-19    4281880.36   4334110.35   8615990.71
1954      20-24    4086498.03   4085816.67   8172314.70
1954      25-29    3677567.17   3523199.09   7200766.26
1954      30-34    3121043.82   2481679.82   5602723.64
