Japan,  Population size (5-year)     Last modified: 15-Dec-2010, MPv5 (May07)

Year       Age      Female         Male        Total
1971      50-54    2652493.38   2140388.12   4792881.50
1971      55-59    2385326.75   2032830.49   4418157.24
1971      60-64    1991867.45   1760956.18   3752823.63
1971      65-69    1580049.31   1391046.43   2971095.74
1971      70-74    1183432.63    969353.08   2152785.71
1971      75-79     745330.91    538348.54   1283679.45
1971      80-84     410146.76    243386.06    653532.82
1971      85-89     157953.40     70579.13    228532.53
1971      90-94      39774.68     13706.63     53481.31
1971      95-99       4954.51      1462.67      6417.18
1971     100-104       254.63        92.44       347.07
1971     105-109        11.95         1.98        13.93
1971     110+            0.00         0.00         0.00
1972-      0        958731.36   1019097.87   1977829.23
1972-      1-4     3584345.16   3774446.17   7358791.32
1972-      5-9     3929652.91   4113091.64   8042744.55
1972-     10-14    3801780.17   3957073.36   7758853.53
1972-     15-19    4190883.18   4291592.70   8482475.89
1972-     20-24    5539858.78   5534161.93  11074020.71
1972-     25-29    4372263.66   4332999.61   8705263.27
1972-     30-34    4272716.82   4255397.23   8528114.05
1972-     35-39    4141784.92   4169328.72   8311113.64
1972-     40-44    3760297.12   3778452.26   7538749.38
1972-     45-49    3328465.77   2945135.39   6273601.16
1972-     50-54    2724292.36   2153541.42   4877833.78
1972-     55-59    2429003.96   2046246.64   4475250.60
1972-     60-64    2096227.73   1814863.81   3911091.54
1972-     65-69    1594149.63   1395864.99   2990014.62
1972-     70-74    1242576.89   1015059.68   2257636.57
1972-     75-79     786372.76    568053.96   1354426.72
1972-     80-84     420234.88    251103.62    671338.51
1972-     85-89     164308.92     74677.40    238986.32
1972-     90-94      42545.59     14736.61     57282.21
1972-     95-99       5705.66      1613.74      7319.40
1972-    100-104       300.46       109.05       409.52
1972-    105-109         5.95         4.96        10.90
1972-    110+            0.00         0.00         0.00
1972+      0        969062.09   1030660.89   1999722.98
1972+      1-4     3622967.98   3817272.28   7440240.26
1972+      5-9     3977462.25   4165787.87   8143250.12
1972+     10-14    3856257.09   4016790.82   7873047.91
1972+     15-19    4239749.51   4344286.98   8584036.49
1972+     20-24    5578388.44   5574683.12  11153071.56
1972+     25-29    4398448.14   4360316.92   8758765.06
1972+     30-34    4305892.42   4290183.44   8596075.86
1972+     35-39    4175600.69   4205168.02   8380768.71
1972+     40-44    3788988.19   3808804.30   7597792.49
1972+     45-49    3350860.25   2965996.17   6316856.42
1972+     50-54    2744992.57   2170768.93   4915761.50
1972+     55-59    2446990.44   2062198.83   4509189.27
1972+     60-64    2110570.14   1827936.33   3938506.47
1972+     65-69    1607715.68   1408371.54   3016087.22
1972+     70-74    1253151.10   1024154.32   2277305.42
1972+     75-79     793064.71    573143.56   1366208.27
1972+     80-84     423811.04    253353.44    677164.48
1972+     85-89     165707.17     75346.49    241053.66
1972+     90-94      42907.65     14868.65     57776.30
1972+     95-99       5754.21      1628.20      7382.41
1972+    100-104       303.02       110.03       413.05
1972+    105-109         6.00         5.00        11.00
1972+    110+            0.00         0.00         0.00
1973       0        980252.36   1039715.91   2019968.27
1973       1-4     3699035.01   3906681.84   7605716.85
1973       5-9     4096155.14   4294793.74   8390948.88
1973      10-14    3877066.29   4045358.80   7922425.09
1973      15-19    4061355.78   4174409.59   8235765.37
1973      20-24    5351867.31   5369759.96  10721627.27
1973      25-29    4599578.66   4581854.33   9181432.99
1973      30-34    4409941.74   4395002.70   8804944.44
1973      35-39    4208405.36   4226378.45   8434783.81
1973      40-44    3883909.18   3913042.15   7796951.33
1973      45-49    3443806.22   3186523.28   6630329.50
1973      50-54    2848336.88   2221947.51   5070284.39
1973      55-59    2470640.77   2058523.44   4529164.21
1973      60-64    2185502.98   1858049.09   4043552.07
1973      65-69    1658471.39   1440688.23   3099159.62
1973      70-74    1311477.64   1067381.87   2378859.51
1973      75-79     834146.62    603694.97   1437841.59
1973      80-84     445513.90    268349.72    713863.62
1973      85-89     174015.48     80211.58    254227.06
1973      90-94      45363.31     15950.14     61313.45
1973      95-99       6334.17      1812.41      8146.58
1973     100-104       393.05       120.06       513.11
1973     105-109        10.00         4.00        14.00
1973     110+            2.00         0.00         2.00
1974       0       1004532.66   1062500.80   2067033.46
1974       1-4     3785168.37   3999051.35   7784219.72
1974       5-9     4194245.49   4403821.38   8598066.87
1974      10-14    3901133.17   4077892.46   7979025.63
1974      15-19    3961237.44   4081301.62   8042539.06
1974      20-24    5025771.36   5061504.14  10087275.50
1974      25-29    4856981.88   4865406.64   9722388.52
1974      30-34    4537982.50   4526707.47   9064689.97
1974      35-39    4196604.00   4206345.38   8402949.38
1974      40-44    3968232.69   3996481.02   7964713.71
1974      45-49    3537495.65   3390024.65   6927520.30
1974      50-54    2973075.22   2322786.97   5295862.19
1974      55-59    2487978.06   2043741.43   4531719.49
1974      60-64    2250187.28   1885735.28   4135922.56
1974      65-69    1719188.83   1475141.20   3194330.03
1974      70-74    1358641.72   1102319.77   2460961.49
1974      75-79     878411.06    634676.50   1513087.56
1974      80-84     459729.93    278724.74    738454.67
1974      85-89     184009.94     87084.59    271094.53
1974      90-94      47468.17     16811.93     64280.10
1974      95-99       6614.12      1871.55      8485.67
1974     100-104       431.05       123.05       554.10
1974     105-109        13.00         5.00        18.00
1974     110+            2.00         0.00         2.00
1975       0        973268.45   1030254.32   2003522.77
1975       1-4     3873636.84   4086202.89   7959839.73
1975       5-9     4282643.05   4503047.17   8785690.22
1975      10-14    3943310.74   4128331.76   8071642.50
1975      15-19    3920366.00   4047722.27   7968088.27
1975      20-24    4678106.17   4727912.74   9406018.91
1975      25-29    5111770.06   5148271.19  10260041.25
1975      30-34    4662869.19   4656912.82   9319782.01
1975      35-39    4167769.03   4172988.12   8340757.15
1975      40-44    4027944.46   4055877.93   8083822.39
1975      45-49    3634132.20   3549908.83   7184041.03
1975      50-54    3097675.83   2482012.53   5579688.36
1975      55-59    2510241.28   2027599.82   4537841.10
1975      60-64    2306278.05   1911564.96   4217843.01
1975      65-69    1806848.89   1525271.23   3332120.12
1975      70-74    1397442.61   1128623.97   2526066.58
1975      75-79     916216.25    662329.63   1578545.88
1975      80-84     476865.52    292377.16    769242.68
1975      85-89     195899.17     94211.95    290111.12
1975      90-94      48789.96     17524.71     66314.67
1975      95-99       6847.05      1923.65      8770.70
1975     100-104       439.03       126.07       565.10
1975     105-109        16.00         7.00        23.00
1975     110+            2.00         0.00         2.00
1976       0        923134.91    972042.58   1895177.49
1976       1-4     3908398.03   4113939.10   8022337.13
1976       5-9     4390289.76   4623274.64   9013564.40
1976      10-14    4001749.33   4192590.40   8194339.73
1976      15-19    3872936.84   4007692.02   7880628.86
1976      20-24    4423140.15   4482578.23   8905718.38
1976      25-29    5409781.92   5467005.26  10876787.18
1976      30-34    4538841.04   4542519.79   9081360.83
1976      35-39    4209687.65   4210508.37   8420196.02
1976      40-44    4098540.79   4122874.76   8221415.55
1976      45-49    3709014.00   3665392.30   7374406.30
1976      50-54    3181570.79   2656306.61   5837877.40
1976      55-59    2607831.81   2060224.41   4668056.22
1976      60-64    2350306.49   1929773.43   4280079.92
1976      65-69    1898919.69   1579232.44   3478152.13
1976      70-74    1425826.21   1144548.51   2570374.72
1976      75-79     964272.64    696877.83   1661150.47
1976      80-84     503249.70    310433.38    813683.08
1976      85-89     204875.99    100298.68    305174.67
1976      90-94      50388.17     18350.15     68738.32
1976      95-99       7125.07      2018.54      9143.61
1976     100-104       452.02       101.04       553.06
1976     105-109        17.00         4.00        21.00
1976     110+            1.00         1.00         2.00
1977       0        882586.53    934640.42   1817226.95
1977       1-4     3870382.84   4073583.67   7943966.51
1977       5-9     4604968.38   4852009.06   9456977.44
1977      10-14    3985569.41   4176966.87   8162536.28
1977      15-19    3853539.43   3995780.92   7849320.35
1977      20-24    4213361.60   4279285.40   8492647.00
1977      25-29    5571950.17   5629421.42  11201371.59
1977      30-34    4405463.91   4415921.76   8821385.67
1977      35-39    4295812.86   4291333.86   8587146.72
1977      40-44    4154921.75   4170326.93   8325248.68
1977      45-49    3783709.12   3761903.40   7545612.52
1977      50-54    3297888.95   2883455.09   6181344.04
1977      55-59    2681957.66   2075593.86   4757551.52
1977      60-64    2386518.97   1942204.68   4328723.65
1977      65-69    1996301.28   1631618.48   3627919.76
1977      70-74    1443336.38   1154650.51   2597986.89
1977      75-79    1017295.37    734907.81   1752203.18
1977      80-84     536095.43    330693.30    866788.73
1977      85-89     209619.93    103696.64    313316.57
1977      90-94      53022.30     19581.72     72604.02
1977      95-99       7489.24      2144.60      9633.84
1977     100-104       544.06       109.04       653.10
1977     105-109        18.00         4.00        22.00
1977     110+            0.00         1.00         1.00
1978       0        845795.74    894588.96   1740384.70
1978       1-4     3768425.58   3969962.30   7738387.88
1978       5-9     4695139.11   4947687.67   9642826.78
1978      10-14    4104018.26   4306592.50   8410610.76
1978      15-19    3875130.36   4023814.57   7898944.93
1978      20-24    4038899.56   4111684.35   8150583.91
1978      25-29    5341692.07   5392641.02  10734333.09
1978      30-34    4598095.39   4623229.61   9221325.00
1978      35-39    4401183.40   4396272.23   8797455.63
1978      40-44    4185661.49   4187024.44   8372685.93
1978      45-49    3862805.90   3851620.50   7714426.40
1978      50-54    3398872.86   3102433.13   6501305.99
1978      55-59    2785269.41   2127454.78   4912724.19
1978      60-64    2403063.10   1936168.60   4339231.70
1978      65-69    2066170.66   1663494.58   3729665.24
1978      70-74    1495127.96   1189788.40   2684916.36
1978      75-79    1070942.92    772511.21   1843454.13
1978      80-84     569280.34    352856.33    922136.67
1978      85-89     224039.81    112418.76    336458.57
1978      90-94      56402.87     21274.37     77677.24
1978      95-99       8227.35      2383.80     10611.15
1978     100-104       590.06       111.04       701.10
1978     105-109        18.00         8.00        26.00
1978     110+            0.00         1.00         1.00
1979       0        823318.99    869994.50   1693313.49
1979       1-4     3615827.50   3812171.24   7427998.74
1979       5-9     4796599.75   5051266.80   9847866.55
1979      10-14    4202681.44   4416260.32   8618941.76
1979      15-19    3900882.48   4056930.01   7957812.49
1979      20-24    3938767.78   4017173.10   7955940.88
1979      25-29    5013979.82   5063321.88  10077301.70
1979      30-34    4847781.17   4888920.12   9736701.29
1979      35-39    4529061.87   4523015.74   9052077.61
1979      40-44    4171682.05   4163051.67   8334733.72
1979      45-49    3935079.69   3921971.33   7857051.02
1979      50-54    3497206.13   3302096.79   6799302.92
1979      55-59    2909672.20   2227048.79   5136720.99
1979      60-64    2411052.78   1918393.69   4329446.47
1979      65-69    2131478.20   1694938.90   3826417.10
1979      70-74    1553910.14   1226412.92   2780323.06
1979      75-79    1117518.70    804762.24   1922280.94
1979      80-84     611281.38    378203.85    989485.23
1979      85-89     236881.06    119607.48    356488.54
1979      90-94      61764.47     24123.88     85888.35
1979      95-99       9041.60      2633.96     11675.56
1979     100-104       651.08       132.07       783.15
1979     105-109        18.00         4.00        22.00
1979     110+            0.00         2.00         2.00
1980       0        789814.50    835608.68   1625423.18
1980       1-4     3464607.40   3649489.27   7114096.67
1980       5-9     4852992.57   5109775.23   9962767.80
1980      10-14    4292459.39   4515945.35   8808404.74
1980      15-19    3946762.18   4112555.90   8059318.08
1980      20-24    3893888.64   3976017.65   7869906.29
1980      25-29    4666064.02   4716193.77   9382257.79
1980      30-34    5097359.69   5155388.08  10252747.77
1980      35-39    4652146.31   4642142.66   9294288.97
1980      40-44    4140265.99   4126046.29   8266312.28
1980      45-49    3989745.34   3972431.58   7962176.92
1980      50-54    3589462.69   3451926.57   7041389.26
1980      55-59    3035574.05   2383084.35   5418658.40
1980      60-64    2428896.42   1902441.32   4331337.74
1980      65-69    2185132.65   1723148.79   3908281.44
1980      70-74    1638564.06   1276380.36   2914944.42
1980      75-79    1158111.36    831379.69   1989491.05
1980      80-84     645508.37    401973.54   1047481.91
1980      85-89     252348.11    129870.64    382218.75
1980      90-94      69179.71     27321.85     96501.56
1980      95-99       9740.68      2937.19     12677.87
1980     100-104       732.06       169.11       901.17
1980     105-109        21.00         4.00        25.00
1980     110+            0.00         1.00         1.00
1981       0        765309.49    807008.04   1572317.53
1981       1-4     3324754.22   3499573.61   6824327.83
1981       5-9     4842434.99   5095741.11   9938176.10
1981      10-14    4402501.77   4636961.06   9039462.83
1981      15-19    4005160.43   4181529.81   8186690.24
1981      20-24    3847328.54   3932920.86   7780249.40
1981      25-29    4411567.03   4463658.73   8875225.76
1981      30-34    5393186.42   5464149.17  10857335.59
1981      35-39    4525744.90   4515498.03   9041242.93
1981      40-44    4179604.36   4159862.01   8339466.37
1981      45-49    4058434.00   4034905.48   8093339.48
1981      50-54    3659636.52   3558132.99   7217769.51
1981      55-59    3118307.90   2551186.77   5669494.67
1981      60-64    2527366.56   1936309.85   4463676.41
1981      65-69    2225029.08   1740664.65   3965693.73
1981      70-74    1726025.49   1326879.51   3052905.00
1981      75-79    1187763.26    847652.92   2035416.18
1981      80-84     680117.43    423509.54   1103626.97
1981      85-89     271130.61    140430.64    411561.25
1981      90-94      72711.04     29455.75    102166.79
1981      95-99      10212.86      3149.49     13362.35
1981     100-104       782.09       161.10       943.19
1981     105-109        24.00         5.00        29.00
1981     110+            0.00         1.00         1.00
1982       0        738987.04    780941.70   1519928.74
1982       1-4     3210377.37   3379479.08   6589856.45
1982       5-9     4758547.18   5006832.76   9765379.94
1982      10-14    4618325.34   4866028.09   9484353.43
1982      15-19    3987371.49   4166050.73   8153422.22
1982      20-24    3834223.17   3932201.01   7766424.18
1982      25-29    4201191.50   4257103.79   8458295.29
1982      30-34    5557103.31   5625902.49  11183005.80
1982      35-39    4392697.95   4391288.50   8783986.45
1982      40-44    4266869.48   4243026.59   8509896.07
1982      45-49    4116884.27   4088597.93   8205482.20
1982      50-54    3735944.30   3653154.12   7389098.42
1982      55-59    3232750.42   2770445.83   6003196.25
1982      60-64    2604336.20   1955031.75   4559367.95
1982      65-69    2265583.08   1757824.26   4023407.34
1982      70-74    1821838.72   1377653.49   3199492.21
1982      75-79    1210816.10    862514.61   2073330.71
1982      80-84     725909.07    452814.46   1178723.53
1982      85-89     293569.42    152041.68    445611.10
1982      90-94      75919.24     31157.58    107076.82
1982      95-99      11073.15      3464.93     14538.08
1982     100-104       858.09       207.14      1065.23
1982     105-109        22.00         5.00        27.00
1982     110+            1.00         1.00         2.00
1983       0        733769.64    772402.93   1506172.57
1983       1-4     3106205.92   3272103.56   6378309.48
1983       5-9     4615906.26   4854740.86   9470647.12
1983      10-14    4707880.70   4961329.07   9669209.77
1983      15-19    4108767.28   4297157.20   8405924.48
1983      20-24    3856669.33   3965769.35   7822438.68
1983      25-29    4026292.43   4090070.18   8116362.61
1983      30-34    5330248.04   5387993.39  10718241.43
1983      35-39    4584392.20   4600793.90   9185186.10
1983      40-44    4375032.92   4350723.82   8725756.74
1983      45-49    4148034.94   4110219.51   8258254.45
1983      50-54    3811320.35   3740842.95   7552163.30
1983      55-59    3337208.76   2982886.24   6320095.00
1983      60-64    2708969.22   2007972.42   4716941.64
1983      65-69    2288250.11   1758469.36   4046719.47
1983      70-74    1894972.67   1413763.88   3308736.55
1983      75-79    1265410.65    897667.49   2163078.14
1983      80-84     772864.16    482487.33   1255351.49
1983      85-89     317949.85    165571.75    483521.60
1983      90-94      84172.28     34899.04    119071.32
1983      95-99      12284.49      3883.44     16167.93
1983     100-104       944.13       244.18      1188.31
1983     105-109        38.00         6.00        44.00
1983     110+            0.00         1.00         1.00
1984       0        729817.87    769395.08   1499212.95
1984       1-4     3020570.32   3180573.72   6201144.04
1984       5-9     4436408.48   4666480.03   9102888.51
1984      10-14    4807727.07   5062920.22   9870647.29
1984      15-19    4212683.05   4410632.34   8623315.39
1984      20-24    3879247.35   3999180.45   7878427.80
1984      25-29    3927350.56   3998679.47   7926030.03
1984      30-34    5005529.13   5058941.70  10064470.83
1984      35-39    4834612.99   4867449.44   9702062.43
1984      40-44    4504103.07   4477638.46   8981741.53
1984      45-49    4135572.31   4090917.47   8226489.78
1984      50-54    3882603.51   3809858.33   7692461.84
1984      55-59    3435659.77   3174427.36   6610087.13
1984      60-64    2832359.38   2105272.11   4937631.49
1984      65-69    2300749.47   1747306.91   4048056.38
1984      70-74    1962708.59   1447578.32   3410286.91
1984      75-79    1326081.35    933012.00   2259093.35
1984      80-84     810084.49    506227.15   1316311.64
1984      85-89     346515.73    179162.40    525678.13
1984      90-94      90732.81     37710.55    128443.36
1984      95-99      13767.83      4649.29     18417.12
1984     100-104      1044.16       276.20      1320.36
1984     105-109        47.00         7.00        54.00
1984     110+            0.00         1.00         1.00
1985       0        719323.50    756366.25   1475689.75
1985       1-4     2961903.25   3113842.70   6075745.95
1985       5-9     4252193.60   4472459.34   8724652.94
1985      10-14    4861568.81   5117472.57   9979041.38
1985      15-19    4306750.51   4517133.23   8823883.74
1985      20-24    3923205.38   4051834.55   7975039.93
1985      25-29    3883074.60   3959040.76   7842115.36
1985      30-34    4660394.62   4716707.59   9377102.21
1985      35-39    5085335.55   5133076.73  10218412.28
1985      40-44    4626612.40   4595976.05   9222588.45
1985      45-49    4106084.90   4057593.72   8163678.62
1985      50-54    3937314.56   3861179.57   7798494.13
1985      55-59    3528083.86   3318206.79   6846290.65
1985      60-64    2957792.19   2255642.23   5213434.42
1985      65-69    2321912.19   1736872.49   4058784.68
1985      70-74    2020302.64   1480179.48   3500482.12
1985      75-79    1408845.38    978718.15   2387563.53
1985      80-84     845259.32    525231.87   1370491.19
1985      85-89     371405.06    192083.38    563488.44
1985      90-94      98302.19     41873.55    140175.74
1985      95-99      15884.24      5305.28     21189.52
1985     100-104      1150.17       329.28      1479.45
1985     105-109        53.00        11.00        64.00
1985     110+            0.00         1.00         1.00
1986       0        693201.53    727896.06   1421097.59
1986       1-4     2910936.54   3054262.49   5965199.03
1986       5-9     4094850.60   4307214.44   8402065.04
1986      10-14    4848316.17   5099470.32   9947786.49
1986      15-19    4411905.64   4635288.99   9047194.63
1986      20-24    3984664.27   4119239.90   8103904.17
1986      25-29    3832237.28   3909522.33   7741759.61
1986      30-34    4408138.15   4471977.32   8880115.47
1986      35-39    5381157.56   5439196.68  10820354.24
1986      40-44    4501599.03   4472629.87   8974228.90
1986      45-49    4145425.50   4092872.97   8238298.47
1986      50-54    4007976.25   3928350.29   7936326.54
1986      55-59    3596647.20   3420513.20   7017160.40
1986      60-64    3041878.91   2417752.75   5459631.66
1986      65-69    2421148.99   1774124.10   4195273.09
1986      70-74    2064077.38   1502675.37   3566752.75
1986      75-79    1495005.63   1025681.93   2520687.56
1986      80-84     882628.97    542866.14   1425495.11
1986      85-89     397830.00    204992.76    602822.76
1986      90-94     108523.48     46588.00    155111.48
1986      95-99      17190.53      5854.17     23044.70
1986     100-104      1274.21       325.31      1599.52
1986     105-109        56.00         7.00        63.00
1986     110+            1.00         2.00         3.00
1987       0        668441.89    707153.58   1375595.47
1987       1-4     2866277.15   3007272.32   5873549.47
1987       5-9     3952893.40   4157853.40   8110746.80
1987      10-14    4763162.38   5011733.83   9774896.21
1987      15-19    4613959.27   4844413.49   9458372.76
1987      20-24    3965089.48   4099584.86   8064674.34
1987      25-29    3810105.13   3892735.14   7702840.27
1987      30-34    4196703.28   4262346.66   8459049.94
1987      35-39    5543099.38   5601885.36  11144984.74
1987      40-44    4369275.14   4352868.49   8722143.63
1987      45-49    4231402.17   4178289.01   8409691.18
1987      50-54    4068014.95   3985318.44   8053333.39
1987      55-59    3672800.90   3516652.27   7189453.17
1987      60-64    3155898.82   2626955.76   5782854.58
1987      65-69    2499567.06   1797493.34   4297060.40
1987      70-74    2106521.39   1524883.94   3631405.33
1987      75-79    1585004.73   1072563.19   2657567.92
1987      80-84     897934.93    555701.76   1453636.69
1987      85-89     432739.78    222849.93    655589.71
1987      90-94     120341.03     51296.29    171637.32
1987      95-99      18450.63      6355.40     24806.03
1987     100-104      1483.24       368.33      1851.57
1987     105-109        57.00         8.00        65.00
1987     110+            1.00         1.00         2.00
1988       0        651416.91    688259.92   1339676.83
1988       1-4     2801796.26   2945589.28   5747385.54
1988       5-9     3841701.31   4040516.68   7882217.99
1988      10-14    4619235.65   4861648.14   9480883.79
1988      15-19    4698284.32   4931575.61   9629859.93
1988      20-24    4075440.89   4214460.78   8289901.67
1988      25-29    3825692.43   3913710.61   7739403.04
1988      30-34    4019637.54   4088391.40   8108028.94
1988      35-39    5315377.11   5366319.09  10681696.20
1988      40-44    4560581.28   4564058.19   9124639.47
1988      45-49    4337262.80   4287794.34   8625057.14
1988      50-54    4099849.26   4011818.96   8111668.22
1988      55-59    3750587.31   3605898.03   7356485.34
1988      60-64    3258992.91   2830568.29   6089561.20
1988      65-69    2603948.02   1850852.28   4454800.30
1988      70-74    2132181.96   1532963.33   3665145.29
1988      75-79    1658235.15   1109333.69   2767568.84
1988      80-84     955526.65    585878.17   1541404.82
1988      85-89     468368.21    240819.68    709187.89
1988      90-94     134015.28     56734.33    190749.61
1988      95-99      21068.84      7267.82     28336.66
1988     100-104      1763.28       468.38      2231.66
1988     105-109        68.00        15.00        83.00
1988     110+            1.00         0.00         1.00
1989       0        634769.10    669731.41   1304500.51
1989       1-4     2722020.96   2865608.89   5587629.85
1989       5-9     3752162.27   3945688.70   7697850.97
1989      10-14    4440243.45   4675849.75   9116093.20
1989      15-19    4796960.05   5035024.43   9831984.48
1989      20-24    4163283.87   4304297.71   8467581.58
1989      25-29    3842323.81   3936101.79   7778425.60
1989      30-34    3916305.60   3987393.76   7903699.36
1989      35-39    4990645.61   5038672.45  10029318.06
1989      40-44    4810548.24   4832525.50   9643073.74
1989      45-49    4462944.03   4415848.84   8878792.87
1989      50-54    4088148.59   3998071.18   8086219.77
1989      55-59    3823200.77   3676880.76   7500081.53
1989      60-64    3356940.47   3016138.17   6373078.64
1989      65-69    2724808.83   1943809.73   4668618.56
1989      70-74    2147952.75   1527628.39   3675581.14
1989      75-79    1724538.81   1143961.37   2868500.18
1989      80-84    1016201.98    617009.87   1633211.85
1989      85-89     496381.28    255003.57    751384.85
1989      90-94     148631.29     61820.07    210451.36
1989      95-99      23293.59      7989.35     31282.94
1989     100-104      1988.35       542.46      2530.81
1989     105-109        90.00        22.00       112.00
1989     110+            3.00         0.00         3.00
1990       0        605431.12    638167.43   1243598.55
1990       1-4     2633138.84   2773596.60   5406735.44
1990       5-9     3681887.73   3869468.25   7551355.98
1990      10-14    4257165.01   4483909.17   8741074.18
1990      15-19    4853832.93   5100386.65   9954219.58
1990      20-24    4242417.75   4387348.42   8629766.17
1990      25-29    3876082.33   3971054.53   7847136.86
1990      30-34    3866870.79   3938557.49   7805428.28
1990      35-39    4645285.39   4695106.20   9340391.59
1990      40-44    5060782.43   5099668.19  10160450.62
1990      45-49    4583835.99   4536267.33   9120103.32
1990      50-54    4057160.65   3969549.39   8026710.04
1990      55-59    3879557.58   3731160.99   7610718.57
1990      60-64    3449789.45   3157821.40   6607610.85
1990      65-69    2847330.64   2086021.12   4933351.76
1990      70-74    2172737.84   1523363.42   3696101.26
1990      75-79    1783613.30   1178062.10   2961675.40
1990      80-84    1090248.80    653676.78   1743925.58
1990      85-89     524042.24    266986.83    791029.07
1990      90-94     161778.38     67167.11    228945.49
1990      95-99      26107.58      9055.47     35163.05
1990     100-104      2339.46       595.53      2934.99
1990     105-109        92.00        22.00       114.00
1990     110+            6.00         1.00         7.00
1991       0        590455.99    620519.72   1210975.71
1991       1-4     2543936.46   2677892.47   5221828.93
1991       5-9     3608165.65   3791341.30   7399506.95
1991      10-14    4100414.14   4319355.66   8419769.80
1991      15-19    4839964.04   5087542.08   9927506.12
1991      20-24    4348059.91   4505202.87   8853262.78
1991      25-29    3925164.11   4019271.03   7944435.14
1991      30-34    3812318.96   3884299.33   7696618.29
1991      35-39    4393109.80   4448028.61   8841138.41
1991      40-44    5354761.65   5404926.32  10759687.97
1991      45-49    4461137.45   4417994.46   8879131.91
1991      50-54    4097012.04   4010866.78   8107878.82
1991      55-59    3948672.29   3798214.79   7746887.08
1991      60-64    3519442.22   3257551.81   6776994.03
1991      65-69    2931541.72   2238997.64   5170539.36
1991      70-74    2269935.07   1560240.02   3830175.09
1991      75-79    1829887.41   1202690.07   3032577.48
1991      80-84    1162556.14    689340.35   1851896.49
1991      85-89     552221.33    277691.64    829912.97
1991      90-94     174823.51     71652.52    246476.03
1991      95-99      29426.69     10213.05     39639.74
1991     100-104      2512.53       649.62      3162.15
1991     105-109        98.00        12.00       110.00
1991     110+            7.00         0.00         7.00
1992       0        591932.54    625300.97   1217233.51
1992       1-4     2473236.71   2600962.10   5074198.81
1992       5-9     3532028.47   3711319.19   7243347.66
1992      10-14    3957677.83   4167709.58   8125387.41
1992      15-19    4749750.42   4994413.59   9744164.01
1992      20-24    4562692.87   4737334.93   9300027.80
1992      25-29    3909451.72   4006955.55   7916407.27
1992      30-34    3790043.38   3867741.72   7657785.10
1992      35-39    4185288.92   4244450.26   8429739.18
1992      40-44    5517606.24   5569640.36  11087246.60
1992      45-49    4334668.07   4304600.89   8639268.96
1992      50-54    4183115.99   4100810.86   8283926.85
1992      55-59    4008779.41   3859135.40   7867914.81
1992      60-64    3593487.02   3347448.80   6940935.82
1992      65-69    3048115.01   2433798.01   5481913.02
1992      70-74    2347031.04   1582713.79   3929744.83
1992      75-79    1874123.44   1223926.73   3098050.17
1992      80-84    1255340.28    727012.98   1982353.26
1992      85-89     568112.23    285736.36    853848.59
1992      90-94     193411.57     78951.08    272362.65
1992      95-99      33031.74     11105.07     44136.81
1992     100-104      2748.63       721.76      3470.39
1992     105-109       116.01        19.01       135.02
1992     110+            4.00         0.00         4.00
1993       0        584666.85    618850.48   1203517.33
1993       1-4     2417239.16   2543664.34   4960903.50
1993       5-9     3448039.96   3623242.72   7071282.68
1993      10-14    3845274.93   4048385.63   7893660.56
1993      15-19    4606581.67   4843191.88   9449773.55
1993      20-24    4649089.26   4834222.82   9483312.08
1993      25-29    4025086.10   4133056.86   8158142.96
1993      30-34    3807600.12   3891518.54   7699118.66
1993      35-39    4010222.84   4074681.91   8084904.75
1993      40-44    5294439.36   5340874.84  10635314.20
1993      45-49    4527068.97   4516710.32   9043779.29
1993      50-54    4291294.65   4213759.03   8505053.68
1993      55-59    4040626.21   3890457.15   7931083.36
1993      60-64    3671404.57   3430905.48   7102310.05
1993      65-69    3149153.87   2620921.56   5770075.43
1993      70-74    2449627.31   1630820.57   4080447.88
1993      75-79    1899971.51   1230676.95   3130648.46
1993      80-84    1315603.35    753339.19   2068942.54
1993      85-89     613769.88    303775.84    917545.72
1993      90-94     212203.09     85479.82    297682.91
1993      95-99      37334.69     12431.80     49766.49
1993     100-104      3230.70       827.87      4058.57
1993     105-109       117.01        24.00       141.01
1993     110+            6.00         0.00         6.00
1994       0        576280.56    607578.48   1183859.04
1994       1-4     2372809.97   2497825.74   4870635.71
1994       5-9     3347957.06   3519875.81   6867832.87
1994      10-14    3754657.50   3950638.61   7705296.11
1994      15-19    4432404.46   4661630.68   9094035.14
1994      20-24    4739800.99   4932375.76   9672176.75
1994      25-29    4121514.31   4239585.07   8361099.38
1994      30-34    3827954.24   3919459.61   7747413.85
1994      35-39    3908985.66   3977704.43   7886690.09
1994      40-44    4974754.01   5019833.07   9994587.08
1994      45-49    4777795.29   4786790.92   9564586.21
1994      50-54    4418973.08   4343414.60   8762387.68
1994      55-59    4031347.44   3884012.14   7915359.58
1994      60-64    3741858.52   3497639.24   7239497.76
1994      65-69    3245296.20   2790528.29   6035824.49
1994      70-74    2566581.62   1713382.46   4279964.08
1994      75-79    1919218.25   1228193.50   3147411.75
1994      80-84    1372429.54    779441.59   2151871.13
1994      85-89     663660.69    324324.10    987984.79
1994      90-94     229504.52     91691.95    321196.47
1994      95-99      42297.75     13633.36     55931.11
1994     100-104      3708.77       931.00      4639.77
1994     105-109       149.00        34.01       183.01
1994     110+            6.00         0.00         6.00
